prefix	equation
- 1 2	What is 1 - 2
+ (* 9 6) 2	I would like to know what is nine multiplied by 6 added with two?
/ (/ 9 6) 10	I would like to know what is nine divided by six / 10?
+ (* 6 2) 4	I would like to know what is 6 multiplied by two added with four?
* (- 1 6) 2	How many is one extracted by 6 multiplied by two?
+ (/ 8 2) 1	I would like to know what is eight divided by 2 plus one?
/ (- 3 10) 5	I want to calculate three - 10 / five?
/ (* 4 4) 2	what is four times four / two?
* (- 2 4) 6	How many is two minus four * 6?
/ (/ 10 7) 5	I want to calculate 10 divided by 7 divided by 5?
* (/ 8 10) 9	what is eight / ten multiplied by 9?
- (/ 4 9) 9	what is four divided by nine minus 9?
+ (+ 10 2) 5	I want to calculate 10 added with 2 + five?
/ (+ 5 6) 1	I would like to know what is five + six / 1?
+ (/ 7 4) 8	I would like to know what is seven divided by four + 8?
+ (- 9 7) 9	I want to calculate 9 minus seven + 9?
* (* 10 7) 9	what is 10 * 7 times 9?
/ (- 5 8) 3	I want to calculate 5 minus 8 divided by 3?
+ (- 2 8) 4	I want to calculate 2 minus eight + 4?
/ (* 4 9) 7	I would like to know what is 4 multiplied by 9 divided by seven?
+ (* 4 2) 7	I want to calculate four * two added with seven?
+ (+ 1 6) 1	I would like to know what is 1 + six + 1?
+ (/ 2 1) 10	I want to calculate 2 divided by 1 added with 10?
* (- 9 10) 9	what is nine - ten * 9?
* (* 7 2) 8	I want to calculate seven * 2 * eight?
- (- 4 2) 6	I would like to know what is 4 minus 2 extracted by 6?
- (- 6 7) 8	I would like to know what is 6 minus 7 minus eight?
- (+ 3 1) 2	I want to calculate three + one minus two?
* (* 8 8) 5	what is eight multiplied by 8 multiplied by 5?
/ (- 5 9) 2	I want to calculate 5 extracted by nine / two?
* (+ 5 5) 5	what is five added with five multiplied by 5?
* (* 7 2) 1	I want to calculate 7 times 2 * 1?
- (/ 10 5) 3	How many is 10 divided by five - 3?
/ (/ 9 6) 10	I want to calculate nine / 6 divided by ten?
+ (/ 8 4) 7	what is 8 divided by 4 plus seven?
* (+ 10 6) 7	How many is 10 added with 6 * seven?
/ (/ 4 1) 3	How many is 4 divided by one divided by 3?
* (/ 1 2) 7	I want to calculate one divided by two multiplied by seven?
/ (+ 9 6) 1	I want to calculate nine + six divided by one?
* (- 9 8) 1	How many is 9 minus eight times 1?
+ (* 1 1) 1	I want to calculate one times one + one?
- (- 5 3) 5	I want to calculate five extracted by three - five?
- (/ 4 2) 9	I would like to know what is four divided by 2 minus nine?
/ (* 1 7) 2	what is 1 multiplied by seven divided by 2?
+ (* 9 2) 10	I would like to know what is nine multiplied by 2 plus ten?
* (/ 10 8) 6	I want to calculate 10 divided by eight multiplied by 6?
+ (/ 5 1) 5	I want to calculate five / 1 plus five?
- (+ 3 5) 9	How many is 3 + five extracted by nine?
- (* 8 6) 7	I want to calculate 8 times six extracted by 7?
- (+ 7 7) 1	How many is seven plus 7 - 1?
+ (- 5 5) 6	How many is 5 extracted by five + 6?
/ (/ 3 7) 1	what is 3 / seven divided by 1?
- (- 3 4) 10	what is 3 minus 4 - 10?
* (/ 6 2) 6	How many is six divided by 2 * six?
- (* 6 2) 1	I want to calculate six multiplied by 2 - one?
+ (- 7 9) 7	I would like to know what is 7 extracted by nine added with seven?
- (/ 4 3) 3	I want to calculate four divided by 3 minus 3?
/ (+ 3 2) 6	I would like to know what is 3 + two divided by six?
* (- 9 10) 8	I want to calculate 9 minus 10 * 8?
* (- 1 6) 1	How many is 1 minus six times 1?
/ (- 4 5) 9	How many is four minus 5 divided by nine?
/ (/ 10 4) 8	I want to calculate ten divided by 4 divided by 8?
+ (* 4 7) 6	I want to calculate four multiplied by 7 added with 6?
/ (+ 4 1) 5	How many is 4 added with one divided by 5?
+ (* 3 1) 4	I want to calculate three * one added with four?
/ (+ 6 8) 10	How many is six + 8 / 10?
/ (* 7 3) 9	I want to calculate 7 multiplied by three / 9?
- (- 3 6) 6	How many is three extracted by six - six?
+ (- 1 1) 3	what is one - 1 plus 3?
* (+ 9 5) 1	I want to calculate nine + five times 1?
- (+ 4 2) 9	I want to calculate 4 added with two extracted by 9?
- (* 10 1) 10	How many is ten multiplied by one - ten?
- (+ 2 7) 10	How many is two plus seven minus ten?
- (+ 9 1) 6	I would like to know what is nine + 1 extracted by 6?
- (+ 7 3) 6	I want to calculate 7 plus three minus 6?
+ (- 7 3) 6	I would like to know what is 7 extracted by three + 6?
* (- 3 4) 3	I want to calculate three - 4 times 3?
/ (* 4 8) 3	How many is four multiplied by 8 divided by three?
/ (+ 4 7) 7	How many is 4 added with 7 divided by 7?
+ (/ 9 5) 1	I would like to know what is nine / five + one?
+ (+ 9 9) 7	I would like to know what is nine added with 9 + seven?
- (- 5 7) 4	I want to calculate five extracted by seven extracted by 4?
+ (+ 9 2) 4	I would like to know what is 9 plus two + four?
+ (- 6 10) 8	I want to calculate 6 - 10 plus eight?
* (/ 5 7) 1	How many is five divided by seven multiplied by 1?
/ (/ 3 1) 1	I would like to know what is 3 divided by 1 / 1?
+ (* 8 5) 4	I want to calculate 8 times five added with 4?
- (+ 2 2) 1	what is two plus 2 minus one?
* (+ 3 9) 6	what is 3 plus nine * 6?
- (/ 1 3) 3	How many is 1 divided by 3 - 3?
/ (* 4 2) 4	How many is four times 2 divided by four?
* (+ 6 4) 7	I would like to know what is 6 plus four multiplied by 7?
+ (/ 8 5) 6	what is eight / 5 + 6?
* (/ 5 1) 9	what is 5 divided by 1 * nine?
* (+ 4 8) 9	I want to calculate four + 8 times 9?
- (* 2 5) 7	I would like to know what is two times five minus 7?
+ (+ 4 2) 3	what is 4 added with 2 added with 3?
* (* 6 3) 4	I would like to know what is 6 multiplied by 3 * 4?
* (/ 5 5) 5	How many is 5 / five multiplied by five?
/ (* 6 3) 1	what is 6 multiplied by 3 divided by one?
+ (+ 10 10) 5	I would like to know what is 10 plus ten added with 5?
- (- 3 2) 5	How many is 3 - two minus 5?
/ (* 8 4) 3	How many is eight * four divided by 3?
* (* 8 5) 7	How many is eight * five * 7?
/ (/ 9 8) 9	I would like to know what is 9 divided by 8 divided by 9?
* (+ 4 8) 9	I want to calculate four + 8 * nine?
* (* 10 3) 3	what is 10 multiplied by 3 * three?
* (/ 8 7) 7	I would like to know what is 8 divided by seven times 7?
* (- 6 10) 1	I would like to know what is 6 minus 10 multiplied by one?
* (+ 2 5) 8	I would like to know what is two plus 5 multiplied by eight?
/ (* 8 9) 7	what is 8 * nine / 7?
/ (/ 3 10) 10	I want to calculate three divided by 10 divided by ten?
/ (+ 2 2) 2	what is 2 added with two divided by two?
+ (* 7 8) 2	How many is 7 * 8 plus 2?
+ (- 2 10) 8	How many is two minus ten plus eight?
/ (- 4 2) 5	How many is four - 2 divided by 5?
- (- 8 5) 10	I want to calculate eight extracted by five minus ten?
/ (- 8 3) 10	I would like to know what is eight minus three / 10?
+ (* 5 4) 6	I want to calculate 5 multiplied by 4 plus six?
+ (* 3 3) 8	I want to calculate 3 multiplied by 3 + 8?
- (+ 2 8) 5	I want to calculate 2 added with 8 extracted by five?
- (/ 7 3) 10	what is seven divided by 3 extracted by ten?
/ (/ 2 2) 3	How many is two divided by two divided by three?
+ (/ 4 1) 4	I would like to know what is four / 1 + 4?
+ (/ 6 1) 10	what is 6 / 1 plus 10?
- (/ 6 3) 4	How many is 6 divided by three minus 4?
* (- 8 3) 2	I want to calculate eight minus 3 times 2?
* (* 4 7) 3	I would like to know what is 4 multiplied by 7 multiplied by three?
/ (- 6 10) 5	what is six - 10 / five?
- (- 2 9) 4	what is two - nine - 4?
/ (* 4 10) 3	what is 4 * ten divided by three?
- (- 6 8) 1	what is 6 extracted by eight extracted by 1?
+ (- 10 8) 9	what is 10 - eight added with 9?
/ (/ 4 7) 2	I would like to know what is four divided by seven divided by two?
